date	category	subcategory	q1_value	sends	cards
2026-08-01	Events cards	eaug_friendshipday_more	eaug_friendshipday_more	23	4
2026-08-01	Events cards	eaug_friendshipday_heart	eaug_friendshipday_heart	14	5
2026-08-01	Events cards	eaug_friendshipday_soulmates	eaug_friendshipday_soulmates	14	3
2026-08-01	Events cards	eaug_flwrmonthaug	eaug_flwrmonthaug	11	2
2026-08-01	Events cards	eaug_smilemonth	eaug_smilemonth	8	4
2026-08-01	Events cards	eaug_friendshipday_thanku	eaug_friendshipday_thanku	7	4
2026-08-01	Events cards	eaug_friendshipday_flowers	eaug_friendshipday_flowers	6	1
2026-08-01	Events cards	eaug_hugmonth	eaug_hugmonth	5	5
2026-08-01	Events cards	wed_wed_congrats	wed_wed_congrats	5	2
2026-08-01	Events cards	eaug_icecream_sandwich_day	eaug_icecream_sandwich_day	5	2
2026-08-01	Events cards	eaug_nationalraspberry_cream_pie_day	eaug_nationalraspberry_cream_pie_day	4	2
2026-08-01	Events cards	eaug_nationalwatermelon_day	eaug_nationalwatermelon_day	3	1
2026-08-01	Events cards	edec_c_newjingle	edec_c_newjingle	2	1
2026-08-01	Events cards	eaug_romawaremonth	eaug_romawaremonth	2	1
2026-08-01	Events cards	wed_belatedwishes	wed_belatedwishes	2	1
2026-08-01	Events cards	eaug_cardssister	eaug_cardssister	2	2
2026-08-01	Events cards	eaug_nationalwhite_wine_day	eaug_nationalwhite_wine_day	2	1
2026-08-01	Events cards	ejan_sendahugday_friends	ejan_sendahugday_friends	1	1
2026-08-01	Events cards	ejun_summer_happy	ejun_summer_happy	1	1
2026-08-01	Events cards	eaug_friendshipday_makesmile	eaug_friendshipday_makesmile	1	1
2026-08-01	Events cards	ejun_bestfriendsday_happy	ejun_bestfriendsday_happy	1	1
2026-08-01	Events cards	eaug_rakshabandhan_interactive	eaug_rakshabandhan_interactive	1	1
2026-08-01	Events cards	wed_weddingetc	wed_weddingetc	1	1
2026-08-01	Events cards	ejan_thankyoucards	ejan_thankyoucards	1	1
2026-08-01	Events cards	eaug_coastguard_day	eaug_coastguard_day	1	1
2026-08-01	Events cards	ejan_sendahugday_love	ejan_sendahugday_love	1	1
2026-08-01	Events cards	eaug_nationalsunflower_day	eaug_nationalsunflower_day	1	1
2026-08-01	Events cards	ejul_friendfestmissouri	ejul_friendfestmissouri	1	1
2026-08-01	Everyday greetings	getwell	gen_getwell	9	6
2026-08-01	Everyday greetings	thinkingofyou	gen_thinkingofyou	7	5
2026-08-01	Everyday greetings	morning	gen_morning	4	3
2026-08-01	Everyday greetings	missyou	gen_missyou	3	3
2026-08-01	Everyday greetings	goodnight	gen_goodnight	3	3
2026-08-01	Everyday greetings	quotesmessages_images_getwell_quotes	gen_quotesmessages_images_getwell_quotes	1	1
2026-08-01	Everyday greetings	voyage	gen_voyage	1	1
2026-08-01	Family & loved ones	brothers	fkt_brothers	1	1
2026-08-01	Family & loved ones	sonsdaughter	fkt_sonsdaughter	1	1
2026-08-01	Family & loved ones	sisters	fkt_sisters	1	1
2026-08-01	Flowers	flrwishes	flwr_flrwishes	1	1
2026-08-01	Friendship	bestfriends	friend_bestfriends	16	8
2026-08-01	Friendship	specialfriend	friend_specialfriend	10	5
2026-08-01	Friendship	hello	friend_hello	1	1
2026-08-01	Friendship	friendsforever	friend_friendsforever	1	1
2026-08-01	Inspirational & sympathy	sympathy	insp_sympathy	7	7
2026-08-01	Inspirational & sympathy	recovery	insp_recovery	3	1
2026-08-01	Keeping in touch	hi	intouch_hi	6	1
2026-08-01	Love & romance	iloveyou_general	love_iloveyou_general	9	6
2026-08-01	Love & romance	iloveyou_couples	love_iloveyou_couples	7	5
2026-08-01	Love & romance	iloveyou_kisses	love_iloveyou_kisses	2	1
2026-08-01	Love & romance	foreverlove	love_foreverlove	1	1
2026-08-01	Pets	lossofpet	pet_lossofpet	2	1
2026-08-01	Pets	frnd	pet_frnd	1	1
2026-08-01	Thank you	birthday	thank_birthday	14	3
2026-08-01	Thank you	friendship	thank_friendship	11	3
2026-08-01	Thank you	everyday	thank_everyday	4	3
2026-08-01	Thank you	inspirational	thank_inspirational	1	1
2026-08-01	World languages	spanish_birthday	w_spanish_birthday	1	1
2026-08-01	World languages	russian_birthday	w_russian_birthday	1	1
2026-08-02	Anniversary	anniversaryetc	anniv_anniversaryetc	15	10
2026-08-02	Anniversary	wedanniv_couple	anniv_wedanniv_couple	10	8
2026-08-02	Anniversary	belated	anniv_belated	3	2
2026-08-02	Anniversary	wedanniv_family	anniv_wedanniv_family	3	3
2026-08-02	Anniversary	ouranniversary_forhim	anniv_ouranniversary_forhim	2	2
2026-08-02	Anniversary	ouranniversary_forher	anniv_ouranniversary_forher	2	1
2026-08-02	Birthday	happybirthday	birth_happybirthday	432	54
2026-08-02	Birthday	belated	birth_belated	17	9
2026-08-02	Birthday	sonanddaughter	birth_sonanddaughter	12	5
2026-08-02	Birthday	fun	birth_fun	12	8
2026-08-02	Birthday	songs	birth_songs	12	6
2026-08-02	Birthday	flowers	birth_flowers	8	4
2026-08-02	Birthday	milestone	birth_milestone	8	6
2026-08-02	Birthday	wishes	birth_wishes	8	5
2026-08-02	Birthday	extfamily	birth_extfamily	7	4
2026-08-02	Birthday	friends	birth_friends	6	4
2026-08-02	Birthday	bronsis	birth_bronsis	5	4
2026-08-02	Birthday	momndad	birth_momndad	4	4
2026-08-02	Birthday	blessings	birth_blessings	3	3
2026-08-02	Birthday	forher	birth_forher	3	3
2026-08-02	Birthday	hubbywife	birth_hubbywife	2	2
2026-08-02	Birthday	forhim	birth_forhim	2	2
2026-08-02	Birthday	kids	birth_kids	1	1
2026-08-02	Birthday	missyou	birth_missyou	1	1
2026-08-02	Birthday	balloons	birth_balloons	1	1
2026-08-02	Congratulations	foreveryone	congrats_foreveryone	3	2
2026-08-02	Congratulations	retirement	congrats_retirement	3	2
2026-08-02	Congratulations	onotheroccasions	congrats_onotheroccasions	3	2
2026-08-02	Congratulations	newcarandlicense	congrats_newcarandlicense	1	1
2026-08-02	Congratulations	newjob	congrats_newjob	1	1
2026-08-02	Cute	kiss	cute_kiss	1	1
2026-08-02	Events cards	eaug_friendshipday_happy	eaug_friendshipday_happy	69	14
2026-08-02	Events cards	eaug_hugmonth	eaug_hugmonth	23	4
2026-08-02	Events cards	eaug_cardssister	eaug_cardssister	12	4
2026-08-02	Events cards	eaug_friendshipday_thanku	eaug_friendshipday_thanku	10	3
2026-08-02	Events cards	eaug_girlfriendsday	eaug_girlfriendsday	10	3
2026-08-02	Events cards	eaug_friendshipday_heart	eaug_friendshipday_heart	6	4
2026-08-02	Events cards	eaug_friendshipweek	eaug_friendshipweek	5	2
2026-08-02	Events cards	eaug_friendshipday_more	eaug_friendshipday_more	4	1
2026-08-02	Events cards	eaug_flwrmonthaug	eaug_flwrmonthaug	3	3
2026-08-02	Events cards	eaug_friendshipday_flowers	eaug_friendshipday_flowers	3	1
2026-08-02	Events cards	wed_wed_congrats	wed_wed_congrats	3	1
2026-08-02	Events cards	eaug_nationalwatermelon_day	eaug_nationalwatermelon_day	3	1
2026-08-02	Events cards	eaug_icecream_sandwich_day	eaug_icecream_sandwich_day	2	2
2026-08-02	Events cards	edec_christworldday_english	edec_christworldday_english	2	1
2026-08-02	Events cards	esep_nathoneymonth	esep_nathoneymonth	2	1
2026-08-02	Events cards	eaug_friendshipday_soulmates	eaug_friendshipday_soulmates	2	1
2026-08-02	Events cards	ejan_thankyoucards	ejan_thankyoucards	2	2
2026-08-02	Events cards	eaug_friendshipday_makesmile	eaug_friendshipday_makesmile	1	1
2026-08-02	Events cards	eaug_justbecauseday	eaug_justbecauseday	1	1
2026-08-02	Events cards	eaug_thankyouday	eaug_thankyouday	1	1
2026-08-02	Events cards	eaug_romanceday	eaug_romanceday	1	1
2026-08-02	Events cards	eaug_nationalraspberry_cream_pie_day	eaug_nationalraspberry_cream_pie_day	1	1
2026-08-02	Events cards	efeb_friendweek	efeb_friendweek	1	1
2026-08-02	Everyday greetings	morning	gen_morning	17	5
2026-08-02	Everyday greetings	getwell	gen_getwell	10	8
2026-08-02	Everyday greetings	thinkingofyou	gen_thinkingofyou	7	6
2026-08-02	Everyday greetings	luck	gen_luck	2	1
2026-08-02	Everyday greetings	weekend	gen_weekend	1	1
2026-08-02	Everyday greetings	goodnight	gen_goodnight	1	1
2026-08-02	Everyday greetings	sorry	gen_sorry	1	1
2026-08-02	Everyday greetings	voyage	gen_voyage	1	1
2026-08-02	Family & loved ones	lovedones	fkt_lovedones	1	1
2026-08-02	Family & loved ones	loveyoudad	fkt_loveyoudad	1	1
2026-08-02	Family & loved ones	sisters	fkt_sisters	1	1
2026-08-02	Flowers	flrwishes	flwr_flrwishes	6	3
2026-08-02	Flowers	friend	flwr_friend	1	1
2026-08-02	Flowers	roses	flwr_roses	1	1
2026-08-02	Friendship	bestfriends	friend_bestfriends	23	9
2026-08-02	Friendship	friendsforever	friend_friendsforever	7	3
2026-08-02	Friendship	specialfriend	friend_specialfriend	3	2
2026-08-02	Friendship	missingyou	friend_missingyou	2	1
2026-08-02	Friendship	hello	friend_hello	2	2
2026-08-02	Friendship	friendshipetc	friend_friendshipetc	2	1
2026-08-02	Friendship	smiles	friend_smiles	1	1
2026-08-02	Friendship	hugsncaring	friend_hugsncaring	1	1
2026-08-02	Inspirational & sympathy	sympathy	insp_sympathy	12	7
2026-08-02	Inspirational & sympathy	health	insp_health	4	1
2026-08-02	Inspirational & sympathy	poetry	insp_poetry	1	1
2026-08-02	Inspirational & sympathy	recovery	insp_recovery	1	1
2026-08-02	Inspirational & sympathy	encour	insp_encour	1	1
2026-08-02	Keeping in touch	thinkingofyou	intouch_thinkingofyou	1	1
2026-08-02	Keeping in touch	acrossthemiles	intouch_acrossthemiles	1	1
2026-08-02	Love & romance	iloveyou_crazy	love_iloveyou_crazy	8	6
2026-08-02	Love & romance	iloveyou_general	love_iloveyou_general	5	4
2026-08-02	Love & romance	lovepoems	love_lovepoems	3	3
2026-08-02	Love & romance	iloveyou_couples	love_iloveyou_couples	2	1
2026-08-02	Love & romance	dating	love_dating	2	2
2026-08-02	Love & romance	iloveyou_kisses	love_iloveyou_kisses	2	1
2026-08-02	Love & romance	youarespecial	love_youarespecial	1	1
2026-08-02	Love & romance	newlove	love_newlove	1	1
2026-08-02	Pets	hihello	pet_hihello	1	1
2026-08-02	Thank you	birthday	thank_birthday	19	5
2026-08-02	Thank you	inspirational	thank_inspirational	12	1
2026-08-02	Thank you	everyday	thank_everyday	10	3
2026-08-02	Thank you	friendship	thank_friendship	6	2
2026-08-02	Thank you	flower	thank_flower	2	1
2026-08-02	Thank you	love	thank_love	1	1
2026-08-02	Thank you	wedding	thank_wedding	1	1
2026-08-02	Thank you	congratulations	thank_congratulations	1	1
2026-08-02	World languages	hindi_indian	w_hindi_indian	7	2
2026-08-02	World languages	german_birthday	w_german_birthday	2	1
2026-08-02	World languages	spanish_secretariesday	w_spanish_secretariesday	1	1
2026-08-03	Anniversary	anniversaryetc	anniv_anniversaryetc	42	16
2026-08-03	Anniversary	wedanniv_couple	anniv_wedanniv_couple	8	4
2026-08-03	Anniversary	gifts	anniv_gifts	3	1
2026-08-03	Anniversary	ouranniversary_forher	anniv_ouranniversary_forher	2	2
2026-08-03	Anniversary	wedanniv_family	anniv_wedanniv_family	1	1
2026-08-03	Anniversary	ouranniversary_forhim	anniv_ouranniversary_forhim	1	1
2026-08-03	Birthday	happybirthday	birth_happybirthday	368	49
2026-08-03	Birthday	wishes	birth_wishes	24	11
2026-08-03	Birthday	fun	birth_fun	16	12
2026-08-03	Birthday	songs	birth_songs	13	5
2026-08-03	Birthday	milestone	birth_milestone	10	7
2026-08-03	Birthday	blessings	birth_blessings	9	6
2026-08-03	Birthday	belated	birth_belated	9	5
2026-08-03	Birthday	sonanddaughter	birth_sonanddaughter	8	6
2026-08-03	Birthday	friends	birth_friends	6	4
2026-08-03	Birthday	bronsis	birth_bronsis	5	3
2026-08-03	Birthday	extfamily	birth_extfamily	5	4
2026-08-03	Birthday	flowers	birth_flowers	4	4
2026-08-03	Birthday	balloons	birth_balloons	4	4
2026-08-03	Birthday	kids	birth_kids	2	2
2026-08-03	Birthday	forhim	birth_forhim	2	2
2026-08-03	Birthday	zodiac	birth_zodiac	2	1
2026-08-03	Birthday	specials	birth_specials	1	1
2026-08-03	Birthday	momndad	birth_momndad	1	1
2026-08-03	Birthday	pets	birth_pets	1	1
2026-08-03	Birthday	hubbywife	birth_hubbywife	1	1
2026-08-03	Congratulations	newbaby	congrats_newbaby	9	4
2026-08-03	Congratulations	foreveryone	congrats_foreveryone	5	3
2026-08-03	Congratulations	newjob	congrats_newjob	3	3
2026-08-03	Cute	teddy	cute_teddy	3	2
2026-08-03	Cute	hugs	cute_hugs	2	2
2026-08-03	Events cards	eaug_nationalwatermelon_day	eaug_nationalwatermelon_day	24	3
2026-08-03	Events cards	eaug_dollarday	eaug_dollarday	3	1
2026-08-03	Events cards	eaug_nationalzucchini_day	eaug_nationalzucchini_day	3	1
2026-08-03	Events cards	eaug_friendshipday_happy	eaug_friendshipday_happy	2	2
2026-08-03	Events cards	eaug_hugmonth	eaug_hugmonth	2	2
2026-08-03	Events cards	eaug_nationalwhite_wine_day	eaug_nationalwhite_wine_day	2	1
2026-08-03	Events cards	ejan_thankyoucards	ejan_thankyoucards	2	2
2026-08-03	Events cards	ejul_livebetterday	ejul_livebetterday	1	1
2026-08-03	Events cards	eaug_romawaremonth	eaug_romawaremonth	1	1
2026-08-03	Events cards	wed_weddingetc	wed_weddingetc	1	1
2026-08-03	Events cards	eaug_girlfriendsday	eaug_girlfriendsday	1	1
2026-08-03	Events cards	edec_c_thankyou	edec_c_thankyou	1	1
2026-08-03	Events cards	eaug_cardssister	eaug_cardssister	1	1
2026-08-03	Events cards	ejan_sendahugday_love	ejan_sendahugday_love	1	1
2026-08-03	Everyday greetings	morning	gen_morning	13	6
2026-08-03	Everyday greetings	thinkingofyou	gen_thinkingofyou	6	5
2026-08-03	Everyday greetings	getwell	gen_getwell	5	3
2026-08-03	Everyday greetings	hi	gen_hi	3	3
2026-08-03	Everyday greetings	monblues	gen_monblues	3	2
2026-08-03	Everyday greetings	voyage	gen_voyage	1	1
2026-08-03	Everyday greetings	goodnight	gen_goodnight	1	1
2026-08-03	Everyday greetings	missyou	gen_missyou	1	1
2026-08-03	Everyday greetings	blessings	gen_blessings	1	1
2026-08-03	Everyday greetings	sorry	gen_sorry	1	1
2026-08-03	Everyday greetings	cheerup	gen_cheerup	1	1
2026-08-03	Friendship	bestfriends	friend_bestfriends	9	2
2026-08-03	Friendship	thoughts	friend_thoughts	1	1
2026-08-03	Friendship	hello	friend_hello	1	1
2026-08-03	Inspirational & sympathy	sympathy	insp_sympathy	12	9
2026-08-03	Inspirational & sympathy	encour	insp_encour	3	2
2026-08-03	Inspirational & sympathy	recovery	insp_recovery	1	1
2026-08-03	Love & romance	iloveyou_crazy	love_iloveyou_crazy	5	5
2026-08-03	Love & romance	iloveyou_couples	love_iloveyou_couples	4	3
2026-08-03	Love & romance	youarespecial	love_youarespecial	3	2
2026-08-03	Love & romance	iloveyou_general	love_iloveyou_general	2	2
2026-08-03	Love & romance	lovepoems	love_lovepoems	1	1
2026-08-03	Love & romance	dating	love_dating	1	1
2026-08-03	Love & romance	sweetheart	love_sweetheart	1	1
2026-08-03	Love & romance	cute	love_cute	1	1
2026-08-03	Thank you	birthday	thank_birthday	17	5
2026-08-03	Thank you	love	thank_love	5	1
2026-08-03	Thank you	everyday	thank_everyday	4	2
2026-08-03	Thank you	inspirational	thank_inspirational	2	1
2026-08-03	Thank you	wedding	thank_wedding	2	2
2026-08-04	Anniversary	wedanniv_couple	anniv_wedanniv_couple	36	19
2026-08-04	Anniversary	wedanniv_family	anniv_wedanniv_family	3	3
2026-08-04	Anniversary	anniversaryetc	anniv_anniversaryetc	3	3
2026-08-04	Anniversary	ouranniversary_forhim	anniv_ouranniversary_forhim	2	1
2026-08-04	Anniversary	milestone	anniv_milestone	1	1
2026-08-04	Anniversary	ouranniversary_forher	anniv_ouranniversary_forher	1	1
2026-08-04	Birthday	happybirthday	birth_happybirthday	417	49
2026-08-04	Birthday	bronsis	birth_bronsis	18	7
2026-08-04	Birthday	fun	birth_fun	18	9
2026-08-04	Birthday	wishes	birth_wishes	18	9
2026-08-04	Birthday	songs	birth_songs	18	7
2026-08-04	Birthday	friends	birth_friends	11	4
2026-08-04	Birthday	sonanddaughter	birth_sonanddaughter	10	6
2026-08-04	Birthday	belated	birth_belated	10	7
2026-08-04	Birthday	blessings	birth_blessings	7	5
2026-08-04	Birthday	milestone	birth_milestone	7	5
2026-08-04	Birthday	extfamily	birth_extfamily	7	5
2026-08-04	Birthday	hubbywife	birth_hubbywife	5	3
2026-08-04	Birthday	kids	birth_kids	5	3
2026-08-04	Birthday	flowers	birth_flowers	2	2
2026-08-04	Birthday	collassociates	birth_collassociates	1	1
2026-08-04	Birthday	missyou	birth_missyou	1	1
2026-08-04	Congratulations	foreveryone	congrats_foreveryone	3	3
2026-08-04	Congratulations	businessandworkplace	congrats_businessandworkplace	1	1
2026-08-04	Cute	teddy	cute_teddy	1	1
2026-08-04	Events cards	eaug_nationalwhite_wine_day	eaug_nationalwhite_wine_day	7	3
2026-08-04	Events cards	eaug_cardssister	eaug_cardssister	5	1
2026-08-04	Events cards	eaug_coastguard_day	eaug_coastguard_day	4	1
2026-08-04	Events cards	eaug_internationalyouth_day	eaug_internationalyouth_day	1	1
2026-08-04	Events cards	eaug_hugmonth	eaug_hugmonth	1	1
2026-08-04	Events cards	enov_allsaintsday	enov_allsaintsday	1	1
2026-08-04	Events cards	esep_allangelsday	esep_allangelsday	1	1
2026-08-04	Events cards	eaug_nationalchocolate_chip_cookie_day	eaug_nationalchocolate_chip_cookie_day	1	1
2026-08-04	Events cards	wed_wishes	wed_wishes	1	1
2026-08-04	Events cards	eaug_justbecauseday	eaug_justbecauseday	1	1
2026-08-04	Events cards	eoct_sweetday_missyou	eoct_sweetday_missyou	1	1
2026-08-04	Events cards	ejun_friendinneed	ejun_friendinneed	1	1
2026-08-04	Events cards	wed_weddingetc	wed_weddingetc	1	1
2026-08-04	Events cards	ejan_thankyoucards	ejan_thankyoucards	1	1
2026-08-04	Events cards	eaug_friendshipday_happy	eaug_friendshipday_happy	1	1
2026-08-04	Events cards	eaug_beachparty_day	eaug_beachparty_day	1	1
2026-08-04	Everyday greetings	thinkingofyou	gen_thinkingofyou	13	8
2026-08-04	Everyday greetings	getwell	gen_getwell	9	6
2026-08-04	Everyday greetings	missyou	gen_missyou	4	3
2026-08-04	Everyday greetings	morning	gen_morning	2	2
2026-08-04	Everyday greetings	hvgtday	gen_hvgtday	2	2
2026-08-04	Everyday greetings	goodnight	gen_goodnight	2	2
2026-08-04	Everyday greetings	joke	gen_joke	1	1
2026-08-04	Everyday greetings	luck	gen_luck	1	1
2026-08-04	Family & loved ones	sisters	fkt_sisters	4	3
2026-08-04	Family & loved ones	huswife	fkt_huswife	1	1
2026-08-04	Friendship	hello	friend_hello	13	1
2026-08-04	Friendship	thoughts	friend_thoughts	8	5
2026-08-04	Friendship	bestfriends	friend_bestfriends	1	1
2026-08-04	Inspirational & sympathy	sympathy	insp_sympathy	13	7
2026-08-04	Inspirational & sympathy	recovery	insp_recovery	1	1
2026-08-04	Inspirational & sympathy	angels	insp_angels	1	1
2026-08-04	Keeping in touch	hi	intouch_hi	1	1
2026-08-04	Love & romance	dating	love_dating	6	1
2026-08-04	Love & romance	iloveyou_couples	love_iloveyou_couples	4	2
2026-08-04	Love & romance	iloveyou_general	love_iloveyou_general	4	4
2026-08-04	Love & romance	iloveyou_crazy	love_iloveyou_crazy	3	3
2026-08-04	Love & romance	youarespecial	love_youarespecial	3	1
2026-08-04	Love & romance	cute	love_cute	2	1
2026-08-04	Love & romance	newlove	love_newlove	1	1
2026-08-04	Love & romance	hugs	love_hugs	1	1
2026-08-04	Love & romance	iamsorry	love_iamsorry	1	1
2026-08-04	Love & romance	foreverlove	love_foreverlove	1	1
2026-08-04	Pets	getwell	pet_getwell	1	1
2026-08-04	Pets	lossofpet	pet_lossofpet	1	1
2026-08-04	Thank you	birthday	thank_birthday	17	3
2026-08-04	Thank you	everyday	thank_everyday	4	2
2026-08-04	Thank you	love	thank_love	2	2
2026-08-04	Thank you	wedding	thank_wedding	2	1
2026-08-04	Thank you	friendship	thank_friendship	1	1
2026-08-04	Thank you	family	thank_family	1	1
2026-08-04	Thank you	inspirational	thank_inspirational	1	1
2026-08-04	World languages	german_birthday	w_german_birthday	1	1
2026-08-04	World languages	spanish_love	w_spanish_love	1	1
2026-08-05	Anniversary	wedanniv_couple	anniv_wedanniv_couple	29	12
2026-08-05	Anniversary	ouranniversary_forher	anniv_ouranniversary_forher	2	1
2026-08-05	Anniversary	anniversaryetc	anniv_anniversaryetc	2	2
2026-08-05	Anniversary	belated	anniv_belated	1	1
2026-08-05	Birthday	happybirthday	birth_happybirthday	396	54
2026-08-05	Birthday	songs	birth_songs	14	6
2026-08-05	Birthday	fun	birth_fun	13	9
2026-08-05	Birthday	friends	birth_friends	10	5
2026-08-05	Birthday	extfamily	birth_extfamily	10	7
2026-08-05	Birthday	belated	birth_belated	10	7
2026-08-05	Birthday	wishes	birth_wishes	9	3
2026-08-05	Birthday	blessings	birth_blessings	7	5
2026-08-05	Birthday	flowers	birth_flowers	7	5
2026-08-05	Birthday	kids	birth_kids	6	2
2026-08-05	Birthday	bronsis	birth_bronsis	6	4
2026-08-05	Birthday	forhim	birth_forhim	5	2
2026-08-05	Birthday	balloons	birth_balloons	4	2
2026-08-05	Birthday	sonanddaughter	birth_sonanddaughter	4	3
2026-08-05	Birthday	milestone	birth_milestone	3	2
2026-08-05	Birthday	forher	birth_forher	2	2
2026-08-05	Birthday	specials	birth_specials	1	1
2026-08-05	Birthday	momndad	birth_momndad	1	1
2026-08-05	Birthday	collassociates	birth_collassociates	1	1
2026-08-05	Business & work	humor	bus_humor	1	1
2026-08-05	Business & work	farewell	bus_farewell	1	1
2026-08-05	Congratulations	engagement	congrats_engagement	3	1
2026-08-05	Congratulations	foreveryone	congrats_foreveryone	2	1
2026-08-05	Congratulations	studentsandnewgrads	congrats_studentsandnewgrads	1	1
2026-08-05	Congratulations	newhome	congrats_newhome	1	1
2026-08-05	Congratulations	newjob	congrats_newjob	1	1
2026-08-05	Events cards	eaug_worklike_a_dog_day	eaug_worklike_a_dog_day	5	1
2026-08-05	Events cards	wed_wed_congrats	wed_wed_congrats	4	1
2026-08-05	Events cards	wed_wishes	wed_wishes	2	1
2026-08-05	Events cards	eaug_friendshipday_happy	eaug_friendshipday_happy	2	2
2026-08-05	Events cards	eaug_cardssister	eaug_cardssister	2	1
2026-08-05	Events cards	eaug_beachparty_day	eaug_beachparty_day	1	1
2026-08-05	Events cards	eaug_romanceday	eaug_romanceday	1	1
2026-08-05	Events cards	eoct_sayheyday	eoct_sayheyday	1	1
2026-08-05	Events cards	efeb_lent	efeb_lent	1	1
2026-08-05	Events cards	wed_belatedwishes	wed_belatedwishes	1	1
2026-08-05	Events cards	efeb_proposeday	efeb_proposeday	1	1
2026-08-05	Events cards	eaug_girlfriendsday	eaug_girlfriendsday	1	1
2026-08-05	Everyday greetings	thinkingofyou	gen_thinkingofyou	14	9
2026-08-05	Everyday greetings	getwell	gen_getwell	13	7
2026-08-05	Everyday greetings	morning	gen_morning	5	2
2026-08-05	Everyday greetings	hvgtday	gen_hvgtday	2	2
2026-08-05	Everyday greetings	sorry	gen_sorry	2	2
2026-08-05	Everyday greetings	cheerup	gen_cheerup	2	1
2026-08-05	Everyday greetings	goodnight	gen_goodnight	1	1
2026-08-05	Everyday greetings	missyou	gen_missyou	1	1
2026-08-05	Family & loved ones	sisters	fkt_sisters	1	1
2026-08-05	Flowers	flrwishes	flwr_flrwishes	17	1
2026-08-05	Friendship	thoughts	friend_thoughts	8	6
2026-08-05	Friendship	friendsforever	friend_friendsforever	3	1
2026-08-05	Inspirational & sympathy	sympathy	insp_sympathy	14	12
2026-08-05	Inspirational & sympathy	recovery	insp_recovery	1	1
2026-08-05	Invitations & parties	birth_gen	invp_birth_gen	1	1
2026-08-05	Love & romance	youarespecial	love_youarespecial	6	3
2026-08-05	Love & romance	iloveyou_couples	love_iloveyou_couples	4	2
2026-08-05	Love & romance	iloveyou_crazy	love_iloveyou_crazy	1	1
2026-08-05	Love & romance	iloveyou_general	love_iloveyou_general	1	1
2026-08-05	Love & romance	sweetheart	love_sweetheart	1	1
2026-08-05	Pets	getwell	pet_getwell	2	2
2026-08-05	Pets	lossofpet	pet_lossofpet	1	1
2026-08-05	Pets	missyou	pet_missyou	1	1
2026-08-05	Thank you	everyday	thank_everyday	12	5
2026-08-05	Thank you	birthday	thank_birthday	11	2
2026-08-05	Thank you	wedding	thank_wedding	1	1
2026-08-05	World languages	russian_birthday	w_russian_birthday	1	1
2026-08-06	Anniversary	wedanniv_couple	anniv_wedanniv_couple	38	20
2026-08-06	Anniversary	anniversaryetc	anniv_anniversaryetc	7	5
2026-08-06	Anniversary	ouranniversary_forher	anniv_ouranniversary_forher	2	2
2026-08-06	Anniversary	ouranniversary_forhim	anniv_ouranniversary_forhim	2	1
2026-08-06	Birthday	happybirthday	birth_happybirthday	412	51
2026-08-06	Birthday	fun	birth_fun	21	10
2026-08-06	Birthday	flowers	birth_flowers	12	5
2026-08-06	Birthday	bronsis	birth_bronsis	11	5
2026-08-06	Birthday	sonanddaughter	birth_sonanddaughter	10	8
2026-08-06	Birthday	hubbywife	birth_hubbywife	9	5
2026-08-06	Birthday	friends	birth_friends	8	7
2026-08-06	Birthday	extfamily	birth_extfamily	5	3
